MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,speed_calc,acceleration,delta_heading,speed_ma,acceleration_ma,delta_heading_ma,LAT_pred,LON_pred,prediction_error
257358000,2020-01-01 00:00:52,37.95079,-121.32616,0.1,84.7,131.0,0.0,,0.0,0.0,,0.0,37.95079,-121.32616,0.0
257365000,2020-01-01 00:00:15,29.86258,-93.93682,0.0,71.0,41.0,0.0,,0.0,0.0,,0.0,29.86258,-93.93682,0.0
257366000,2020-01-01 00:00:08,37.23458,-130.84003,11.3,287.0,290.0,0.0,,0.0,0.0,,0.0,37.23458,-130.84003,0.0
257457000,2020-01-01 00:01:09,47.98342,-126.08238,10.1,237.3,237.0,0.0,,0.0,0.0,,0.0,47.98342,-126.08238,0.0
257480000,2020-01-01 00:00:08,25.01765,-84.28132,8.3,338.2,343.0,0.0,,0.0,0.0,,0.0,25.01765,-84.28132,0.0
257758000,2020-01-01 00:00:01,45.78906,-125.33026,16.1,178.9,184.0,0.0,,0.0,0.0,,0.0,45.78906,-125.33026,0.0
257844000,2020-01-01 00:00:00,27.2753,-79.32507,12.7,5.7,7.0,0.0,,0.0,0.0,,0.0,27.2753,-79.32507,0.0
257901000,2020-01-01 00:00:33,29.3615,-94.91675,0.0,209.6,179.0,0.0,,0.0,0.0,,0.0,29.3615,-94.91675,0.0
258009000,2020-01-01 00:00:11,31.06625,-138.2086,12.3,103.3,100.0,0.0,,0.0,0.0,,0.0,31.06625,-138.2086,0.0
258914000,2020-01-01 00:00:10,24.63754,-83.21299,14.6,2.7,4.0,0.0,,0.0,0.0,,0.0,24.63754,-83.21299,0.0
259578000,2020-01-01 00:00:43,29.30652,-94.81354,0.0,278.3,201.0,0.0,,0.0,0.0,,0.0,29.30652,-94.81354,0.0
259739000,2020-01-01 00:00:04,37.48586,-122.66234,9.0,358.3,352.0,0.0,,0.0,0.0,,0.0,37.48586,-122.66234,0.0
259917000,2020-01-01 00:00:00,22.73908,-85.99298,11.0,259.8,258.0,0.0,,0.0,0.0,,0.0,22.73908,-85.99298,0.0
265669780,2020-01-01 00:01:18,30.39817,-81.4579,0.0,360.0,511.0,0.0,,0.0,0.0,,0.0,30.39817,-81.4579,0.0
271043241,2020-01-01 00:00:05,40.50742,-72.54033,12.1,269.0,270.0,0.0,,0.0,0.0,,0.0,40.50742,-72.54033,0.0
303031000,2020-01-01 00:00:04,60.88663,-146.93,9.9,217.2,217.0,0.0,,0.0,0.0,,0.0,60.88663,-146.93,0.0
303031000,2020-01-01 00:01:05,60.88437,-146.9336,10.0,217.9,217.0,5.212163048357857,0.08544529587471897,0.0,2.6060815241789284,0.08544529587471897,0.0,60.88437,-146.9336,0.0
303104000,2020-01-01 00:00:05,38.68232,-74.88911,8.8,318.9,320.0,0.0,,0.0,0.0,,0.0,38.68232,-74.88911,0.0
303104000,2020-01-01 00:01:15,38.68459,-74.89149,8.9,325.9,322.0,4.659617782014036,0.06656596831448622,2.0,2.329808891007018,0.06656596831448622,1.0,38.68459,-74.89149,0.0
303179000,2020-01-01 00:00:05,33.77136,-118.21224,0.1,279.1,64.0,0.0,,0.0,0.0,,0.0,33.77136,-118.21224,0.0
303205000,2020-01-01 00:00:22,21.32119,-158.11627,0.0,313.6,44.0,0.0,,0.0,0.0,,0.0,21.32119,-158.11627,0.0
303250000,2020-01-01 00:00:07,29.25865,-89.36505,0.0,220.5,511.0,0.0,,0.0,0.0,,0.0,29.25865,-89.36505,0.0
303308000,2020-01-01 00:00:02,47.6667,-122.38946,0.0,308.5,356.0,0.0,,0.0,0.0,,0.0,47.6667,-122.38946,0.0
303328000,2020-01-01 00:00:09,57.77835,-152.41456,0.0,290.4,511.0,0.0,,0.0,0.0,,0.0,57.77835,-152.41456,0.0
303348100,2020-01-01 00:00:12,39.26509,-76.5702,0.1,324.1,511.0,0.0,,0.0,0.0,,0.0,39.26509,-76.5702,0.0
303388000,2020-01-01 00:00:00,54.8616,-163.40918,0.3,308.0,331.0,0.0,,0.0,0.0,,0.0,54.8616,-163.40918,0.0
303388000,2020-01-01 00:01:02,54.86177,-163.40936,0.6,337.7,325.0,0.357043277032407,0.0057587625327807585,-6.0,0.1785216385162035,0.0057587625327807585,-3.0,54.86177,-163.40936,0.0
303398000,2020-01-01 00:00:17,48.39831,-122.49657,0.1,291.1,511.0,0.0,,0.0,0.0,,0.0,48.39831,-122.49657,0.0
303407000,2020-01-01 00:00:02,54.86595,-163.40874,0.1,294.6,511.0,0.0,,0.0,0.0,,0.0,54.86595,-163.40874,0.0
303442000,2020-01-01 00:00:02,48.18054,-122.54524,7.8,172.2,511.0,0.0,,0.0,0.0,,0.0,48.18054,-122.54524,0.0
303442000,2020-01-01 00:01:13,48.17806,-122.54474,7.5,168.5,511.0,3.9189323220085495,0.05519622988744436,0.0,1.9594661610042747,0.05519622988744436,0.0,48.17806,-122.54474,0.0
303454000,2020-01-01 00:00:06,47.6427,-122.34206,0.0,196.5,65.0,0.0,,0.0,0.0,,0.0,47.6427,-122.34206,0.0
303457000,2020-01-01 00:01:02,53.88145,-166.54236,0.0,268.2,109.0,0.0,,0.0,0.0,,0.0,53.88145,-166.54236,0.0
303458000,2020-01-01 00:00:28,29.12282,-90.2067,0.1,266.1,93.0,0.0,,0.0,0.0,,0.0,29.12282,-90.2067,0.0
303462000,2020-01-01 00:00:04,55.05932,-162.31821,0.0,321.2,345.0,0.0,,0.0,0.0,,0.0,55.05932,-162.31821,0.0
303476000,2020-01-01 00:00:14,29.40794,-91.99232,0.2,187.7,511.0,0.0,,0.0,0.0,,0.0,29.40794,-91.99232,0.0
303520000,2020-01-01 00:01:08,27.92973,-82.44642,0.0,26.8,186.0,0.0,,0.0,0.0,,0.0,27.92973,-82.44642,0.0
303583000,2020-01-01 00:00:02,45.88968,-86.12454,11.2,72.1,82.0,0.0,,0.0,0.0,,0.0,45.88968,-86.12454,0.0
303589000,2020-01-01 00:00:00,32.69,-79.74963,4.5,332.6,327.0,0.0,,0.0,0.0,,0.0,32.69,-79.74963,0.0
303589000,2020-01-01 00:01:04,32.69119,-79.75041,4.6,333.5,328.0,2.3612458033841186,0.03689446567787685,1.0,1.1806229016920593,0.03689446567787685,0.5,32.69119,-79.75041,0.0
303657000,2020-01-01 00:00:06,38.64272,-74.02141,12.5,191.8,191.0,0.0,,0.0,0.0,,0.0,38.64272,-74.02141,0.0
303669000,2020-01-01 00:00:01,53.86831,-166.55431,0.0,290.1,41.0,0.0,,0.0,0.0,,0.0,53.86831,-166.55431,0.0
303672000,2020-01-01 00:00:01,36.93936,-76.33691,7.5,4.9,2.0,0.0,,0.0,0.0,,0.0,36.93936,-76.33691,0.0
303835000,2020-01-01 00:01:10,21.31651,-157.87819,0.1,276.8,511.0,0.0,,0.0,0.0,,0.0,21.31651,-157.87819,0.0
303867000,2020-01-01 00:00:37,21.30741,-157.87317,0.0,0.0,511.0,0.0,,0.0,0.0,,0.0,21.30741,-157.87317,0.0
303913000,2020-01-01 00:01:11,27.95455,-82.442,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,27.95455,-82.442,0.0
